study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB19856	SAMEA4698685	ERX2619099	ERR2602443	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2602443/ERR2602443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2602443/ERR2602443_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602443/G3504_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602443/G3504_F.2.fq.gz	
PRJEB19856	SAMEA4698686	ERX2619100	ERR2602444	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2602444/ERR2602444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2602444/ERR2602444_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602444/S001_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602444/S001_F.2.fq.gz	
PRJEB19856	SAMEA4698687	ERX2619101	ERR2602445	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2602445/ERR2602445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2602445/ERR2602445_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602445/S004_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602445/S004_F.2.fq.gz	
PRJEB19856	SAMEA4698688	ERX2619102	ERR2602446	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2602446/ERR2602446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2602446/ERR2602446_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602446/S023_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602446/S023_F.2.fq.gz	
PRJEB19856	SAMEA4698689	ERX2619103	ERR2602447	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2602447/ERR2602447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2602447/ERR2602447_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602447/S031_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602447/S031_F.2.fq.gz	
PRJEB19856	SAMEA4698690	ERX2619104	ERR2602448	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2602448/ERR2602448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2602448/ERR2602448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602448/S036_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602448/S036_F.2.fq.gz	
PRJEB19856	SAMEA4698691	ERX2619105	ERR2602449	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2602449/ERR2602449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2602449/ERR2602449_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602449/S043_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602449/S043_F.2.fq.gz	
PRJEB19856	SAMEA4698692	ERX2619106	ERR2602450	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/000/ERR2602450/ERR2602450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/000/ERR2602450/ERR2602450_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602450/S045_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602450/S045_F.2.fq.gz	
PRJEB19856	SAMEA4698693	ERX2619107	ERR2602451	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2602451/ERR2602451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2602451/ERR2602451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602451/S053_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602451/S053_F.2.fq.gz	
PRJEB19856	SAMEA4698694	ERX2619108	ERR2602452	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2602452/ERR2602452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2602452/ERR2602452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602452/S061_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602452/S061_F.2.fq.gz	
PRJEB19856	SAMEA4698695	ERX2619109	ERR2602453	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2602453/ERR2602453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2602453/ERR2602453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602453/S069_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602453/S069_F.2.fq.gz	
PRJEB19856	SAMEA4698696	ERX2619110	ERR2602454	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2602454/ERR2602454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2602454/ERR2602454_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602454/S070a_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602454/S070a_F.2.fq.gz	
PRJEB19856	SAMEA4698697	ERX2619111	ERR2602455	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2602455/ERR2602455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2602455/ERR2602455_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602455/S075_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602455/S075_F.2.fq.gz	
PRJEB19856	SAMEA4698698	ERX2619112	ERR2602456	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2602456/ERR2602456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2602456/ERR2602456_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602456/S079_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602456/S079_F.2.fq.gz	
